customer_msg,sentiment
Estoy cansado de llamar y que nadie me dé una solución real,negativo
Realmente decepcionado con la atención recibida,negativo
"Está bien, esperaré la respuesta",neutral
"Está bien, esperaré la respuesta",neutral
"De acuerdo, quedo pendiente de la actualización",neutral
"Ok, entendido, gracias por la información",neutral
¿Cuánto tiempo tomará resolver esto?,neutral
No puede ser que sigan sin resolver mi problema,negativo
"De acuerdo, quedo pendiente de la actualización",neutral
"Increíble, pensé que tardaría más, quedé muy contento",positivo
"Muchas gracias, quedó solucionado perfectamente",positivo
"Esto es inaceptable, llevo días esperando una solución",negativo
"Perfecto, justo lo que necesitaba, mil gracias",positivo
"Increíble, pensé que tardaría más, quedé muy contento",positivo
Necesito más detalles sobre el proceso,neutral
"Gracias, quedo atento a los próximos pasos",neutral
¿Cuánto tiempo tomará resolver esto?,neutral
"Qué mal servicio, voy a cancelar si esto continúa así",negativo
"Perfecto, justo lo que necesitaba, mil gracias",positivo
"Está bien, esperaré la respuesta",neutral
Realmente decepcionado con la atención recibida,negativo
"Esto es inaceptable, llevo días esperando una solución",negativo
"Qué mal servicio, voy a cancelar si esto continúa así",negativo
"Esto es inaceptable, llevo días esperando una solución",negativo
"Todo funciona de maravilla ahora, gracias por la ayuda",positivo
"Gracias, quedo atento a los próximos pasos",neutral
"Increíble, pensé que tardaría más, quedé muy contento",positivo
"Gracias, quedo atento a los próximos pasos",neutral
"Qué mal servicio, voy a cancelar si esto continúa así",negativo
No puede ser que sigan sin resolver mi problema,negativo
"Qué mal servicio, voy a cancelar si esto continúa así",negativo
"Está bien, esperaré la respuesta",neutral
"Excelente atención, resolvieron mi problema muy rápido",positivo
"Perfecto, justo lo que necesitaba, mil gracias",positivo
Es una pérdida de tiempo total hablar con soporte,negativo
"Qué buen servicio, lo resolvieron en minutos",positivo
"Qué buen servicio, lo resolvieron en minutos",positivo
Podrían confirmarme cuando esté listo,neutral
"Todo funciona de maravilla ahora, gracias por la ayuda",positivo
"Estoy muy molesto, el servicio es pésimo",negativo
No puede ser que sigan sin resolver mi problema,negativo
"Esto es inaceptable, llevo días esperando una solución",negativo
Estoy cansado de llamar y que nadie me dé una solución real,negativo
"Entiendo, ¿hay algún número de seguimiento?",neutral
Estoy cansado de llamar y que nadie me dé una solución real,negativo
Estoy muy satisfecho con el soporte que me dieron,positivo
