description,category
Quiero terminar mi contrato antes de que finalice el plazo,CNCL
Necesito hablar con un asesor sobre un tema general,OTHR
Deseo agregar una línea adicional a mi plan actual,PLAN
El servicio de internet lleva 25 horas caído,TECH
Solicito la baja total de todos mis servicios,CNCL
¿Tiene penalidad cancelar el servicio este mes?,CNCL
Solicito la baja total de todos mis servicios,CNCL
El monto facturado no coincide con mi plan contratado,BILL
"Necesito que revisen mi línea, hay mucho ruido y cortes",TECH
Deseo agregar una línea adicional a mi plan actual,PLAN
"Ya no necesito el servicio, por favor procesen la baja",CNCL
La luz del módem parpadea en rojo y no hay señal,TECH
"Ya no quiero continuar con el servicio, favor cancelar",CNCL
"Necesito que revisen mi línea, hay mucho ruido y cortes",TECH
¿Cuál es el proceso para cancelar mi contrato?,CNCL
"Ya no necesito el servicio, por favor procesen la baja",CNCL
Quisiera saber las direcciones de sus centros de atención,OTHR
Deseo cancelar y que me confirmen por correo,CNCL
Quisiera bajar de plan porque no uso tanto internet,PLAN
Necesito subir de plan porque ya no me alcanza la velocidad,PLAN
¿Por qué me llegó un cobro doble este mes?,BILL
Quisiera saber el detalle de mi última factura,BILL
¿Cómo puedo cambiar mi método de pago?,OTHR
Quisiera saber las direcciones de sus centros de atención,OTHR
Mi factura llegó con un recargo que no corresponde,BILL
El internet está muy lento desde hace 2 días,TECH
¿Cómo puedo cambiar mi método de pago?,OTHR
Quiero dejar una sugerencia sobre el servicio,OTHR
¿Qué planes tienen disponibles para empresas?,PLAN
¿Tiene penalidad cancelar el servicio este mes?,CNCL
La luz del módem parpadea en rojo y no hay señal,TECH
¿Qué planes tienen disponibles para empresas?,PLAN
El servicio de internet lleva 24 horas caído,TECH
El internet está muy lento desde hace 2 días,TECH
¿Cuál es el proceso para cancelar mi contrato?,CNCL
Necesito una copia de mi factura de febrero,BILL
"Tengo problemas de velocidad, la señal es muy débil",TECH
No entiendo por qué mi factura subió este mes,BILL
"No puedo navegar, la página no carga nunca",TECH
Necesito una copia de mi factura de enero,BILL
Necesito una copia de mi factura de enero,BILL
Necesito una copia de mi factura de enero,BILL
¿Dónde puedo hacer seguimiento a mi ticket anterior?,OTHR
Solicito información sobre mi saldo pendiente,BILL
Me cobraron un cargo adicional que no reconozco,BILL
El monto facturado no coincide con mi plan contratado,BILL
¿Cuál es el proceso para cancelar mi contrato?,CNCL
Necesito cancelar porque me mudo de ciudad,CNCL
Me cobraron un cargo adicional que no reconozco,BILL
"Ya no quiero continuar con el servicio, favor cancelar",CNCL
Quiero cancelar mi servicio de internet definitivamente,CNCL
Me interesa contratar un paquete con telefonía incluida,PLAN
Deseo dar de baja mi cuenta lo antes posible,CNCL
Necesito el comprobante de pago del mes pasado,BILL
¿Cómo actualizo mi correo electrónico registrado?,OTHR
¿Cuál es el horario de atención de sus oficinas?,OTHR
Quiero reclamar un cargo indebido en mi cuenta,BILL
Quiero reclamar un cargo indebido en mi cuenta,BILL
Solicito la baja total de todos mis servicios,CNCL
"No puedo navegar, la página no carga nunca",TECH
¿Cuál es el proceso para cancelar mi contrato?,CNCL
El internet está muy lento desde hace 6 días,TECH
"No puedo navegar, la página no carga nunca",TECH
¿Tiene penalidad cancelar el servicio este mes?,CNCL
Quisiera bajar de plan porque no uso tanto internet,PLAN
La luz del módem parpadea en rojo y no hay señal,TECH
"Necesito que revisen mi línea, hay mucho ruido y cortes",TECH
Quisiera saber las direcciones de sus centros de atención,OTHR
El servicio de internet lleva 45 horas caído,TECH
"Ya no necesito el servicio, por favor procesen la baja",CNCL
Necesito una copia de mi factura de enero,BILL
Quiero cambiar mi plan actual a uno de mayor velocidad,PLAN
Necesito cancelar porque me mudo de ciudad,CNCL
Deseo dar de baja mi cuenta lo antes posible,CNCL
¿Qué planes tienen disponibles para empresas?,PLAN
Quiero dejar una sugerencia sobre el servicio,OTHR
Quisiera saber el detalle de mi última factura,BILL
¿Por qué me llegó un cobro doble este mes?,BILL
¿Por qué me llegó un cobro doble este mes?,BILL
Quisiera saber las direcciones de sus centros de atención,OTHR
Quiero conocer las promociones de planes actuales,PLAN
Deseo agregar una línea adicional a mi plan actual,PLAN
"El router no enciende, necesito soporte técnico urgente",TECH
Quisiera bajar de plan porque no uso tanto internet,PLAN
Solicito información sobre mi saldo pendiente,BILL
Quisiera saber el detalle de mi última factura,BILL
Quisiera saber el detalle de mi última factura,BILL
Necesito el comprobante de pago del mes pasado,BILL
No tengo conexión a internet en mi domicilio,TECH
La luz del módem parpadea en rojo y no hay señal,TECH
Necesito cancelar porque me mudo de ciudad,CNCL
¿Por qué me llegó un cobro doble este mes?,BILL
Solicito información sobre mi saldo pendiente,BILL
Quiero terminar mi contrato antes de que finalice el plazo,CNCL
La luz del módem parpadea en rojo y no hay señal,TECH
"El router no enciende, necesito soporte técnico urgente",TECH
Deseo agregar una línea adicional a mi plan actual,PLAN
Me interesa contratar un paquete con telefonía incluida,PLAN
¿Cuál es el horario de atención de sus oficinas?,OTHR
Necesito una copia de mi factura de enero,BILL
Solicito la baja total de todos mis servicios,CNCL
