customer_id,plan_type,monthly_charge,tenure_months,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,created_at,churn_status
1,standard,35.55,51,1794.73,two_year,bank_transfer,4,4.02,2023-04-26,0
2,basic,15.48,14,193.95,month-to-month,bank_transfer,1,2.61,2023-08-08,1
3,basic,14.15,71,1002.99,one_year,credit_card,0,4.86,2023-09-10,0
4,basic,13.11,60,810.83,month-to-month,credit_card,0,4.56,2023-06-18,0
5,standard,32.68,20,,month-to-month,credit_card,3,2.12,2023-11-12,1
6,basic,13.51,23,344.3,month-to-month,bank_transfer,1,2.76,2024-01-07,1
7,standard,29.85,2,77.9,one_year,cash,0,4.27,2024-08-05,0
8,standard,28.08,21,560.39,month-to-month,bank_transfer,0,4.23,2023-06-05,0
9,basic,10.45,52,535.74,one_year,credit_card,2,5.0,2024-09-05,0
10,premium,52.01,1,31.2,two_year,bank_transfer,1,2.62,2023-01-13,1
11,standard,28.49,29,839.51,one_year,cash,5,,2024-05-22,0
12,basic,14.21,37,506.01,one_year,bank_transfer,2,2.59,2024-04-09,0
13,premium,54.34,1,21.92,two_year,cash,2,,2023-08-08,0
14,basic,14.73,63,921.48,two_year,credit_card,0,4.39,2023-01-15,0
15,standard,28.53,59,1706.66,one_year,credit_card,2,1.0,2023-04-27,0
16,standard,34.05,20,677.15,two_year,cash,3,4.41,2023-11-27,0
17,standard,32.84,32,1058.85,two_year,bank_transfer,3,4.88,2023-02-25,0
18,premium,54.59,57,3120.37,two_year,credit_card,2,4.6,2023-12-17,0
19,standard,30.76,21,615.71,month-to-month,bank_transfer,1,5.0,2023-05-12,0
20,standard,28.88,48,1368.25,month-to-month,cash,1,4.47,2023-08-14,0
21,basic,10.0,58,580.13,month-to-month,bank_transfer,1,2.96,2023-11-04,0
22,basic,15.06,41,606.31,month-to-month,bank_transfer,1,4.74,2024-04-19,0
23,premium,55.92,59,3333.37,one_year,credit_card,1,2.91,2023-08-10,0
24,standard,25.16,14,327.67,one_year,bank_transfer,2,3.58,2023-06-22,0
25,standard,31.5,61,1903.31,two_year,bank_transfer,5,4.33,2023-12-06,0
26,standard,29.16,61,1784.57,month-to-month,cash,1,3.95,2024-05-20,0
27,standard,31.01,46,1413.9,two_year,cash,1,4.85,2023-06-06,0
28,basic,14.25,61,811.41,one_year,cash,2,5.0,2023-05-31,0
29,standard,33.75,50,1726.19,one_year,credit_card,1,2.36,2024-11-27,0
30,standard,30.68,54,1635.23,two_year,bank_transfer,0,3.17,2023-06-27,0
31,basic,18.01,63,1145.85,one_year,bank_transfer,3,3.82,2024-06-16,0
32,basic,18.25,2,11.43,month-to-month,bank_transfer,3,3.04,2023-04-22,1
33,basic,11.64,50,564.74,two_year,bank_transfer,5,3.42,2024-11-13,0
34,standard,27.78,6,134.22,month-to-month,cash,2,4.28,2023-05-18,1
35,premium,56.35,20,1112.18,month-to-month,bank_transfer,0,4.14,2023-08-21,0
36,basic,13.9,38,515.31,two_year,bank_transfer,1,3.75,2023-11-28,0
37,basic,14.28,17,240.11,month-to-month,credit_card,3,3.65,2024-06-25,1
38,standard,33.86,3,94.13,one_year,credit_card,4,3.28,2023-11-03,0
39,standard,29.07,59,1686.3,month-to-month,bank_transfer,4,4.9,2023-06-10,0
40,standard,27.09,13,341.69,two_year,bank_transfer,2,5.0,2024-02-06,0
41,standard,27.5,8,248.94,month-to-month,credit_card,1,4.52,2024-08-12,0
42,standard,36.55,52,1927.17,two_year,credit_card,1,2.35,2023-10-05,0
43,standard,29.47,1,,one_year,bank_transfer,1,3.24,2023-11-16,0
44,premium,50.91,59,3016.95,month-to-month,credit_card,0,3.7,2024-06-16,0
45,premium,49.69,70,3519.52,one_year,credit_card,2,2.56,2024-05-11,0
46,basic,13.13,43,576.01,two_year,credit_card,2,3.58,2023-12-29,0
47,basic,14.41,7,113.75,month-to-month,credit_card,0,3.52,2024-01-07,1
48,basic,17.85,46,789.81,month-to-month,credit_card,1,4.58,2024-10-16,0
49,standard,32.56,34,1084.79,month-to-month,credit_card,2,3.0,2023-02-05,1
50,premium,54.98,35,1923.65,month-to-month,bank_transfer,2,4.66,2023-10-30,0
51,standard,28.64,49,1387.21,one_year,cash,3,2.54,2024-03-13,0
52,basic,16.02,3,28.1,one_year,bank_transfer,2,2.68,2023-02-01,1
53,standard,24.75,1,,month-to-month,bank_transfer,4,3.12,2023-07-05,1
54,standard,35.94,5,151.23,month-to-month,credit_card,2,3.55,2023-06-23,1
55,basic,16.96,53,883.05,one_year,credit_card,1,1.08,2024-07-19,0
56,standard,32.6,3,104.59,month-to-month,bank_transfer,0,3.96,2024-11-03,0
57,standard,26.78,53,1455.27,month-to-month,credit_card,2,5.0,2023-09-07,0
58,standard,33.85,62,2114.64,two_year,bank_transfer,2,4.15,2023-10-06,0
59,basic,13.62,17,244.26,one_year,bank_transfer,3,3.29,2024-11-13,0
60,basic,12.14,43,489.55,one_year,bank_transfer,1,2.42,2024-11-25,0
61,standard,29.88,33,,two_year,credit_card,2,1.69,2023-01-02,0
62,basic,14.81,61,902.07,month-to-month,credit_card,3,1.86,2023-07-13,1
63,standard,26.76,13,353.69,two_year,bank_transfer,0,3.37,2023-06-15,0
64,standard,27.32,47,1276.83,month-to-month,credit_card,1,5.0,2023-04-20,0
65,standard,27.08,14,412.36,month-to-month,bank_transfer,3,1.0,2024-01-15,1
66,premium,52.11,71,3700.87,month-to-month,bank_transfer,1,4.2,2024-08-05,0
67,standard,28.84,61,1762.24,month-to-month,cash,1,2.82,2024-11-06,0
68,basic,10.83,39,383.12,one_year,credit_card,4,3.16,2023-10-12,0
69,standard,27.93,52,1450.23,month-to-month,cash,0,2.56,2024-02-25,0
70,standard,33.14,23,785.21,month-to-month,bank_transfer,2,2.13,2023-04-23,1
71,standard,32.47,25,822.86,month-to-month,credit_card,4,3.63,2023-08-16,0
72,basic,11.85,59,656.04,month-to-month,credit_card,2,3.76,2024-04-15,0
73,premium,57.87,40,2305.81,one_year,bank_transfer,2,4.17,2024-06-11,0
74,standard,24.1,28,709.44,month-to-month,credit_card,2,1.81,2024-05-10,1
75,basic,22.29,14,309.05,one_year,credit_card,1,4.37,2023-01-31,0
76,basic,18.9,44,838.05,month-to-month,credit_card,1,4.39,2023-06-11,0
77,basic,13.32,64,884.86,one_year,cash,2,3.92,2024-01-13,0
78,premium,56.15,70,3927.41,two_year,bank_transfer,1,3.08,2024-03-21,0
79,basic,10.8,8,102.22,month-to-month,bank_transfer,2,3.81,2024-03-02,0
80,basic,15.18,0,8.23,one_year,credit_card,0,3.34,2024-11-26,1
81,premium,54.45,7,393.65,month-to-month,credit_card,0,4.47,2024-05-18,0
82,standard,27.5,62,1712.58,month-to-month,bank_transfer,2,3.13,2024-06-10,0
83,basic,13.59,10,124.95,two_year,bank_transfer,3,3.61,2024-11-14,0
84,basic,13.3,7,84.14,month-to-month,credit_card,0,1.76,2024-06-15,1
85,basic,11.6,34,377.31,month-to-month,bank_transfer,3,3.81,2024-08-04,0
86,basic,12.43,34,389.83,one_year,cash,2,2.75,2024-06-03,0
87,standard,25.67,32,846.33,month-to-month,bank_transfer,3,4.01,2023-02-03,0
88,basic,17.57,4,70.48,two_year,bank_transfer,1,4.29,2024-11-21,0
89,basic,12.2,40,511.88,month-to-month,cash,2,2.89,2024-05-04,1
90,standard,26.33,27,742.22,two_year,credit_card,0,3.53,2024-09-11,0
