description,category,priority,created_hour,created_dow,resolution_time_hours
Tengo una consulta general sobre mi cuenta,OTHR,medium,7,2,7.3
Mi factura tiene un cobro que no reconozco este mes,BILL,low,23,5,5.15
Necesito cancelar mi servicio lo antes posible,CNCL,low,14,1,4.61
Necesito cancelar mi servicio lo antes posible,CNCL,medium,9,3,1.49
Tengo una consulta general sobre mi cuenta,OTHR,medium,11,1,5.42
Mi factura tiene un cobro que no reconozco este mes,BILL,low,6,0,5.65
El internet está muy lento y no logro conectarme bien,TECH,low,22,1,12.33
Mi factura tiene un cobro que no reconozco este mes,BILL,high,3,6,2.35
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,8,4,5.65
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,10,4,1.89
El internet está muy lento y no logro conectarme bien,TECH,medium,19,4,5.47
Tengo una consulta general sobre mi cuenta,OTHR,low,2,1,8.67
El internet está muy lento y no logro conectarme bien,TECH,medium,18,1,6.06
Tengo una consulta general sobre mi cuenta,OTHR,low,23,6,7.33
El internet está muy lento y no logro conectarme bien,TECH,low,13,2,9.84
Necesito cancelar mi servicio lo antes posible,CNCL,medium,18,3,1.34
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,22,0,9.37
Necesito cancelar mi servicio lo antes posible,CNCL,high,20,5,0.9
Tengo una consulta general sobre mi cuenta,OTHR,medium,12,0,5.86
Tengo una consulta general sobre mi cuenta,OTHR,low,17,5,9.39
El internet está muy lento y no logro conectarme bien,TECH,low,0,1,12.87
El internet está muy lento y no logro conectarme bien,TECH,low,19,2,11.26
El internet está muy lento y no logro conectarme bien,TECH,medium,4,2,9.83
Necesito cancelar mi servicio lo antes posible,CNCL,low,23,5,4.05
El internet está muy lento y no logro conectarme bien,TECH,medium,20,2,5.83
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,3,1,5.27
El internet está muy lento y no logro conectarme bien,TECH,high,12,0,3.0
Mi factura tiene un cobro que no reconozco este mes,BILL,low,3,2,6.34
Tengo una consulta general sobre mi cuenta,OTHR,low,7,5,9.12
Mi factura tiene un cobro que no reconozco este mes,BILL,low,11,2,5.23
Necesito cancelar mi servicio lo antes posible,CNCL,low,16,1,3.01
Necesito cancelar mi servicio lo antes posible,CNCL,low,11,0,2.67
El internet está muy lento y no logro conectarme bien,TECH,low,16,3,9.31
Necesito cancelar mi servicio lo antes posible,CNCL,medium,6,5,3.03
El internet está muy lento y no logro conectarme bien,TECH,low,4,3,15.29
Mi factura tiene un cobro que no reconozco este mes,BILL,low,3,4,7.58
El internet está muy lento y no logro conectarme bien,TECH,low,14,0,12.12
El internet está muy lento y no logro conectarme bien,TECH,low,20,2,9.85
Tengo una consulta general sobre mi cuenta,OTHR,medium,19,5,4.8
Tengo una consulta general sobre mi cuenta,OTHR,low,3,1,10.02
Tengo una consulta general sobre mi cuenta,OTHR,high,12,4,2.35
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,18,3,3.47
Mi factura tiene un cobro que no reconozco este mes,BILL,low,17,0,6.43
Necesito cancelar mi servicio lo antes posible,CNCL,low,6,1,3.94
El internet está muy lento y no logro conectarme bien,TECH,medium,9,2,5.42
Tengo una consulta general sobre mi cuenta,OTHR,medium,13,1,5.98
El internet está muy lento y no logro conectarme bien,TECH,low,13,2,11.33
Tengo una consulta general sobre mi cuenta,OTHR,medium,23,4,6.39
Necesito cancelar mi servicio lo antes posible,CNCL,low,6,3,4.59
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,15,2,2.25
Necesito cancelar mi servicio lo antes posible,CNCL,medium,15,4,2.69
Necesito cancelar mi servicio lo antes posible,CNCL,high,2,1,1.56
Necesito cancelar mi servicio lo antes posible,CNCL,medium,13,3,1.82
Mi factura tiene un cobro que no reconozco este mes,BILL,high,4,6,1.61
Necesito cancelar mi servicio lo antes posible,CNCL,low,11,0,3.92
Necesito cancelar mi servicio lo antes posible,CNCL,low,12,5,3.17
Tengo una consulta general sobre mi cuenta,OTHR,low,17,2,10.43
Necesito cancelar mi servicio lo antes posible,CNCL,high,5,0,1.45
Mi factura tiene un cobro que no reconozco este mes,BILL,low,12,1,5.04
Necesito cancelar mi servicio lo antes posible,CNCL,medium,8,3,1.98
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,21,1,5.14
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,8,3,2.49
Mi factura tiene un cobro que no reconozco este mes,BILL,low,9,5,5.49
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,18,2,8.3
Necesito cancelar mi servicio lo antes posible,CNCL,low,3,2,4.63
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,4,4,9.22
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,23,2,10.02
Necesito cancelar mi servicio lo antes posible,CNCL,medium,20,6,1.9
Necesito cancelar mi servicio lo antes posible,CNCL,low,6,0,5.74
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,5,5,2.45
El internet está muy lento y no logro conectarme bien,TECH,medium,12,1,4.73
Tengo una consulta general sobre mi cuenta,OTHR,low,4,6,18.03
Necesito cancelar mi servicio lo antes posible,CNCL,medium,4,6,2.27
Mi factura tiene un cobro que no reconozco este mes,BILL,low,20,6,6.09
Mi factura tiene un cobro que no reconozco este mes,BILL,low,12,5,5.87
Tengo una consulta general sobre mi cuenta,OTHR,high,4,5,3.09
Necesito cancelar mi servicio lo antes posible,CNCL,low,19,5,2.43
Tengo una consulta general sobre mi cuenta,OTHR,medium,21,5,8.33
Tengo una consulta general sobre mi cuenta,OTHR,low,6,5,14.86
Tengo una consulta general sobre mi cuenta,OTHR,medium,22,5,7.41
Necesito cancelar mi servicio lo antes posible,CNCL,medium,11,3,2.02
Necesito cancelar mi servicio lo antes posible,CNCL,low,11,3,4.93
El internet está muy lento y no logro conectarme bien,TECH,low,8,4,7.92
Tengo una consulta general sobre mi cuenta,OTHR,medium,3,3,7.32
Necesito cancelar mi servicio lo antes posible,CNCL,medium,6,3,3.14
El internet está muy lento y no logro conectarme bien,TECH,low,7,4,13.9
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,23,2,7.75
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,17,2,1.65
Necesito cancelar mi servicio lo antes posible,CNCL,low,4,0,3.55
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,10,6,3.15
Necesito cancelar mi servicio lo antes posible,CNCL,low,18,4,3.44
Tengo una consulta general sobre mi cuenta,OTHR,low,9,2,5.77
Tengo una consulta general sobre mi cuenta,OTHR,medium,18,1,5.8
El internet está muy lento y no logro conectarme bien,TECH,medium,0,4,6.39
Tengo una consulta general sobre mi cuenta,OTHR,medium,1,1,7.46
Necesito cancelar mi servicio lo antes posible,CNCL,medium,9,1,2.14
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,14,6,1.89
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,20,2,3.45
Tengo una consulta general sobre mi cuenta,OTHR,high,9,4,1.88
Tengo una consulta general sobre mi cuenta,OTHR,low,5,1,12.75
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,12,1,3.74
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,10,5,1.61
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,0,6,9.8
El internet está muy lento y no logro conectarme bien,TECH,low,5,5,13.21
Tengo una consulta general sobre mi cuenta,OTHR,medium,4,5,8.88
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,12,6,2.1
Tengo una consulta general sobre mi cuenta,OTHR,low,1,1,13.27
El internet está muy lento y no logro conectarme bien,TECH,medium,17,4,6.36
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,18,1,6.79
Necesito cancelar mi servicio lo antes posible,CNCL,low,3,1,4.36
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,21,1,6.95
Tengo una consulta general sobre mi cuenta,OTHR,medium,16,1,4.47
Mi factura tiene un cobro que no reconozco este mes,BILL,low,15,5,5.8
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,21,2,7.88
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,9,1,3.94
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,3,4,2.83
Tengo una consulta general sobre mi cuenta,OTHR,medium,8,6,3.7
Mi factura tiene un cobro que no reconozco este mes,BILL,low,21,2,7.63
El internet está muy lento y no logro conectarme bien,TECH,medium,6,3,7.72
Tengo una consulta general sobre mi cuenta,OTHR,medium,19,5,5.0
Mi factura tiene un cobro que no reconozco este mes,BILL,high,2,1,1.86
Tengo una consulta general sobre mi cuenta,OTHR,low,0,6,15.15
Necesito cancelar mi servicio lo antes posible,CNCL,high,16,4,0.85
Tengo una consulta general sobre mi cuenta,OTHR,low,16,5,6.27
Mi factura tiene un cobro que no reconozco este mes,BILL,low,4,5,5.42
Necesito cancelar mi servicio lo antes posible,CNCL,low,17,3,3.38
El internet está muy lento y no logro conectarme bien,TECH,medium,19,5,7.73
Mi factura tiene un cobro que no reconozco este mes,BILL,high,6,2,1.53
Necesito cancelar mi servicio lo antes posible,CNCL,low,17,5,3.73
Tengo una consulta general sobre mi cuenta,OTHR,medium,8,3,5.02
El internet está muy lento y no logro conectarme bien,TECH,low,1,1,16.01
